17:40:44 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 1, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=1
17:40:45 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 2, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=2
17:40:45 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 3, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=3
17:40:45 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 4, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=4
17:40:45 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 5, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=5
17:40:45 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 6, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=6
17:40:45 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 7, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=7
17:40:45 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 8, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=8
17:40:45 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 9, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=9
17:40:45 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 10, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=10
17:40:46 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 11, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=11
17:40:46 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 12, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=12
17:40:48 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 8, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=8
17:40:48 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 9, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=9
17:40:48 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 10, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=10
17:40:48 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 11, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=11
17:40:48 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 12, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=12
17:40:48 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 13, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=13
17:40:48 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 14, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=14
17:40:48 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 15, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=15
17:40:48 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 16, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=16
17:40:49 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 17, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=17
17:40:49 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 18, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=18
17:40:49 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 19, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=19
17:40:49 [DEBUG] (1) rust_text_editor::editor::view: After move: loc=Location { grapheme_index: 20, row: 8 }, scroll=Position { row: 0, col: 0 }, max_grapheme_ind=20
